"date","unit_session_id","Age","BHI_A_1_r","BHI_A_2_r","BHI_A_3","BHI_A_4","BHI_C_1","BHI_C_2_r","BHI_C_3","BHI_C_4_r","BHI_E_1","BHI_E_2_r","BHI_E_3_r","BHI_E_4","BHI_HH_1","BHI_HH_2_r","BHI_HH_3_r","BHI_HH_4_r","BHI_O_1","BHI_O_2_r","BHI_O_3","BHI_O_4","BHI_X_1_r","BHI_X_2","BHI_X_3","BHI_X_4_r","Corona","Curfew_1","Curfew_1_1","Curfew_1_2","Curfew_2","Curfew_2_1","Curfew_2_2","Curfew_2_3","Gender","Household_Size","Left_Right_Politics","Nationality","Residence","Risk_Duration","Risk_Freq","Risk_Quarantine","survey","ToP_Amount","ToP_Freqency","ToP_Inhouse","ToP_Ratio","Residence_County","version","BHI_HH_2","BHI_HH_3","BHI_HH_4","HH","BHI_E_2","BHI_E_3","E","BHI_X_1","BHI_X_4","X","BHI_A_1","BHI_A_2","A","BHI_C_2","BHI_C_4","C","BHI_O_2","O","Personal_Mobility_Restriction","Public_Transport_Restriction","Quarantine_Duration","continent","Germany","USA","German","American","Europe","Americas","Rest"
2020-03-24,5332578,24,3,5,2,1,2,3,3,2,4,2,4,3,4,3,4,4,5,2,5,5,1,3,5,2,3,1,2,1,1,1,1,2,1,2,4,"DE","DE",NA,0,2,2,1,1,5,3,NA,"english",3,2,2,2.75,4,2,3.25,5,4,4.25,3,1,1.75,3,4,3,4,4.75,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332580,33,3,3,2,3,3,4,3,3,3,2,4,4,4,1,3,1,3,2,4,4,2,4,4,2,7,1,1,1,1,1,1,1,1,2,3,"RO","DE",NA,1,2,2,2,2,3,2,NA,"english",5,3,5,4.25,4,2,3.25,4,4,4,3,3,2.75,2,3,2.75,4,3.75,1,1,0,"Europe",1,0,0,0,1,0,0
2020-03-24,5332588,30,2,2,3,2,4,3,4,2,4,2,4,4,4,2,2,1,4,1,4,5,1,4,5,1,4,1,1,1,1,1,1,1,1,2,6,"DE","DE",NA,0,2,2,1,1,4,2,NA,"english",4,4,5,4.25,4,2,3.5,5,5,4.75,4,4,3.25,3,4,3.75,5,4.5,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332593,28,2,3,3,4,5,3,4,2,4,4,4,1,4,1,2,2,4,2,3,5,1,2,3,3,7,1,1,1,1,1,1,1,1,2,4,"DE","DE",NA,0,2,2,1,1,3,2,NA,"english",5,4,4,4.25,2,2,2.25,5,3,3.25,4,3,3.5,3,4,4,4,4,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332600,30,4,2,4,2,4,4,2,3,4,3,3,4,3,1,1,1,1,1,3,3,1,3,4,1,6,1,2,1,1,1,1,2,2,2,4,"DE","DE",NA,0,2,2,2,2,3,1,NA,"english",5,5,5,4.5,3,3,3.5,5,5,4.25,2,4,3,2,3,2.75,5,3,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332610,23,3,5,2,3,4,2,4,2,4,2,4,5,2,1,2,2,4,1,3,3,2,5,4,2,6,1,1,1,1,1,1,2,1,1,3,"DE","DE",NA,0,2,2,2,2,4,2,NA,"english",5,4,4,3.75,4,2,3.75,4,4,4.25,3,1,2.25,4,4,4,5,3.75,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332622,31,4,4,4,2,1,4,4,4,5,4,4,4,2,1,3,2,4,1,4,4,2,4,4,2,7,1,2,1,1,1,1,2,1,2,3,"DE","DE",NA,0,2,2,2,2,3,2,NA,"english",5,3,4,3.5,2,2,3.25,4,4,4,2,2,2.5,2,2,2.25,5,4.25,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332635,44,5,5,4,5,5,2,5,5,4,2,4,2,4,1,5,4,4,4,4,5,2,2,4,4,2,1,2,2,1,1,1,2,1,1,7,"ES","FR",NA,0,2,2,1,1,3,2,NA,"english",5,1,2,3,4,2,3,4,2,3,1,1,2.75,4,1,3.75,2,3.75,1,0,0,"Europe",0,0,0,0,1,0,0
2020-03-24,5332637,36,2,4,2,4,4,2,4,4,3,4,4,4,2,3,2,3,4,1,4,4,3,2,4,3,7,1,1,1,1,1,1,2,2,3,4,"DE","DE",NA,1,2,2,1,1,6,2,NA,"english",3,4,3,3,2,2,2.75,3,3,3,4,2,3,4,2,3.5,5,4.25,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332642,29,3,5,2,5,4,4,4,2,4,3,4,3,3,4,4,3,4,1,4,5,2,3,4,3,3,1,2,1,1,1,1,2,2,1,5,"DE","DE",NA,0,2,2,2,2,4,2,NA,"english",2,2,3,2.5,3,2,3,4,3,3.5,3,1,2.75,2,4,3.5,5,4.5,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332647,36,2,3,3,3,4,2,4,4,3,4,3,2,4,1,2,2,2,1,5,3,2,3,4,1,4,1,2,1,1,1,1,2,1,2,4,"DE","DE",NA,0,2,2,2,2,4,2,NA,"english",5,4,4,4.25,2,3,2.5,4,5,4,4,3,3.25,4,2,3.5,5,3.75,1,0,0,"Europe",1,0,1,0,1,0,0
